event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
MEX64105,"16 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-) Ministerial Federal Police",,"State forces","State forces-Political militia",,484,"North America",Mexico,Guanajuato,Villagran,,"El Chinaco",20.5214,-100.9196,1,"Hoy Tamaulipas",National,"On 16 August 2022, in El Chinaco, Guanajuato, there was an armed clash between armed men and the ministerial police after the men shot at the police during a patrol. One police officer was killed and another two were injured. 1 fatality.",1,,1719274862
MEX64068,"15 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-) National Guard",,"State forces","State forces-Political militia",,484,"North America",Mexico,Guanajuato,"Santa Cruz de Juventino Rosas",,"Juventino Rosas",20.6432,-100.994,2,"Zona Franca",Subnational,"On 15 August 2022, between Juventino Rosas and Villagran, Guanajuato, an unknown number of armed individuals fired at National Guard officers who were on their way to inspect their vehicle on the Juventino Rosas-Villagran road. After a pursuit at least three people were arrested. 1 officer was injured.",0,,1663001499
MEX64066,"15 August 2022",2022,2,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Police Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,Guanajuato,Celaya,,Celaya,20.5215,-100.814,1,"Zona Franca",Subnational,"Around 15 August 2022 (as reported), in Celaya, Guanajuato, a man was killed and his dismembered body was found in several places. Human remains were found in front of the Galerias Celaya shopping mall, in Colonia Progreso and in Colonia Hacienda Don Gu. The victim was a police officer. 1 fatality.",1,,1719274862
MEX64086,"15 August 2022",2022,2,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Unidentified Gang (Mexico)",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,Morelos,Cuernavaca,,Cuernavaca,18.9218,-99.2349,1,"Diario de Morelos",Subnational,"Around 15 August 2022 (as reported), in Cuernavaca, Morelos, a man was killed and his body was found with a tiro de gracia shot in Colonia Miraval. The victim's body was gagged and had signs of torture. The victim was involved in robberies and drug distribution. 1 fatality.",1,,1724714225
MEX64048,"14 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Unidentified Gang (Mexico)",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,"Quintana Roo",Solidaridad,,"Playa del Carmen",20.6281,-87.0755,1,"La Verdad",National,"On 14 August 2022, in Playa del Carmen, Quintana Roo, two men were shot and injured by an armed man inside a bar on 5th Avenue. One of the victims was a suspected drug dealer and the other victim was a foreigner. 2 injured.",0,,1663001497
MEX64025,"13 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Military Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,Zacatecas,"Tlaltenango de Sanchez Roman",,Cicacalco,21.7165,-103.313,2,"Pagina 24 Zacatecas",Subnational,"On 13 August 2022, close to Cicacalco, Zacatecas, members of an organized crime group attacked military officers on patrol. One perpetrator died in the attack. 1 fatality.",1,,1663001498
MEX64008,"13 August 2022",2022,1,"Political violence",Battles,"Armed clash","Self-Defense Group (Mexico)","United People","Political militia","Police Forces of Mexico (2018-) National Guard",,"State forces","State forces-Political militia",,484,"North America",Mexico,"Michoacan de Ocampo",Paracho,,"Paracho de Verduzco",19.6473,-102.0485,2,Riodoce,National,"On 13 August 2022, close to Paracho de Verduzco, Michoacan de Ocampo, members of the self defense group United People abducted 25 officers of the National Guard who were traveling in six units. The kidnapping is connected to the arrest of more than 160 members of the United People who are currently under arrest. The officers were released the same day.",0,,1663001499
MEX63994,"12 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-) State Police",,"State forces","State forces-Political militia",,484,"North America",Mexico,"San Luis Potosi","San Luis Potosi",,"San Luis Potosi",22.1517,-100.977,1,"El Siglo de Durango",National,"On 12 August 2022, in San Luis Potosi, San Luis Potosi, two armed individuals opened fire at state police agents. Police chased them resulting in the crash of both individuals close to the El Peaje dam. Police officers arrested both individuals. There were no casualties.",0,,1663001496
MEX63995,"12 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Police Forces of Mexico (2018-) State Police",,"State forces","State forces-Political militia",,484,"North America",Mexico,Zacatecas,Fresnillo,,Fresnillo,23.1749,-102.8682,1,"La Prensa de Monclova",National,"On 12 August 2022, in Fresnillo, Zacatecas, armed individuals linked to drug trafficking ambushed and opened fire at state police officers in Colonia Francisco Villa. One police officer was killed and two were injured in the attack. 1 fatality, 1 injury.",1,,1663001497
MEX63991,"12 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-) State Police",,"State forces","State forces-Political militia",,484,"North America",Mexico,Jalisco,Quitupan,,Quitupan,19.9271,-102.8764,2,"Metro Gdl",National,"On 12 August 2022, close to Quitupan, Jalisco, an armed clash was reported between armed individuals and state police officers on the road between Valle de Juarez and Quitupan. One officer was injured in the attack. Police officers seized vehicles, weapons and cartridges. 1 injured.",0,,1663001498
MEX63916,"12 August 2022",2022,1,"Political violence",Battles,"Armed clash","CJNG: Jalisco New Generation Cartel",,"Political militia","Police Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,"Baja California",Mexicali,,Mexicali,32.6412,-115.476,1,"El Norte; Milenio; Zeta Tijuana",Subnational-National,"On 12 August 2022, in Mexicali, Baja California, members of the CJNG forced individuals out of their truck and set it on fire as a (narco) roadblock. Municipal police officers intervened and engaged in an armed clash with the individuals, later arresting three of them. On the same day, more than 19 vehicles were set on fire by criminal groups in the state of Baja California.",0,,1702344168
MEX63955,"12 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-) State Police",,"State forces","State forces-Political militia",,484,"North America",Mexico,Guanajuato,Celaya,,Celaya,20.5215,-100.814,1,"Zona Franca",Subnational,"On 12 August 2022, in Celaya, Guanajuato, an armed clash was reported between armed individuals and state police officers. The armed men burned vehicles after the clash. There were reports of police officers blocking and attacking journalist coverage during the clash. Two journalists reported being beaten by former federal police officers and robbed of their cell phones while broadcasting the operation. 2 injuries.",0,,1719274862
MEX63883,"12 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-) State Police",,"State forces","State forces-Political militia",,484,"North America",Mexico,Guanajuato,Celaya,,Roque,20.5822,-100.838,1,"Zona Franca",Subnational,"On 12 August 2022, in Roque, Guanajuato, an armed clash was reported between armed groups traveling in two vehicles and state police officers. Armed individuals scattered sharp objects on the roads to damage tires and avoid persecution.",0,,1719274862
MEX63797,"11 August 2022",2022,1,"Political violence",Battles,"Armed clash","CJNG: Jalisco New Generation Cartel",,"Political militia","Military Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,"Michoacan de Ocampo",Zamora,,"Atacheo de Regalado",20.062,-102.1881,2,"La Voz de Michoacan",Subnational,"On 11 August 2022, close to Atacheo de Regalado, Michoacan de Ocampo, an armed clash between members of the CJNG and the Secretariat of the National Defense (military force) was reported. Four members of the CJNG were arrested and weapons and grenades were seized. There were no casualties.",0,,1660572136
MEX63800,"11 August 2022",2022,1,"Political violence",Battles,"Armed clash","Los Mexicles Gang",,"Political militia","Los Chapos Gang",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,Chihuahua,Juarez,,"Ciudad Juarez",31.7465,-106.485,1,"Zona Franca",National,"On 11 August 2022, in Ciudad Juarez, Chihuahua, an armed confrontation between inmates affiliated to the Los Mexicles and the Los Chapos gangs broke out inside a prison during family visiting hours. Three inmates were killed and four were injured in the clash. 3 fatalities.",3,,1660572136
MEX63744,"09 August 2022",2022,1,"Political violence",Battles,"Armed clash","CJNG: Jalisco New Generation Cartel",,"Political militia","Military Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,Jalisco,"Ixtlahuacan del Rio",,"Ixtlahuacan del Rio",20.8646,-103.2396,2,"El Proceso; AFN - Tijuana; Entorno Informativo; MiMorelia; Borderland Beat",National,"On 9 August 2022, between Ixtlahuacan del Rio and Cuquio, Jalisco, there was an armed clash between members of the CJNG and military forces. A member of the cartel and two civilians were killed. Amid the clash several vehicles including two public transportation vehicles were burned on the road to Saltillo in Zapopan to try to prevent the passage of police forces. Videos were published showing around 10 to 15 different burning vehicles. 3 fatalities.",3,,1660572136
MEX63971,"09 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Unidentified Gang (Mexico)",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,Mexico,Ixtapaluca,,"San Francisco Acuautla",19.3455,-98.8516,1,Milenio,National,"On 9 August 2022, in San Francisco Acuautla, Mexico, armed men entered a home and shot six men in Colonia Landeros. Five men were killed and one was injured in the attack, being linked to the settling of scores between rival criminal groups. Two of the victims were identified as members of a criminal group linked to extortion and kidnapping and another man was identified as the son of a local intelligence agent. A message was found next to the bodies. 5 fatalities, 1 injury.",5,,1660572136
